Inicio: 26/11/2023 13:00:20,53 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue.txt
26/11/2023 15:02:49,19 136758
26/11/2023 15:03:00,22 110985
26/11/2023 15:03:11,18 130139
26/11/2023 15:03:22,22 124899
26/11/2023 15:03:33,18 124439
26/11/2023 15:03:44,22 127326
26/11/2023 15:03:55,19 129677
26/11/2023 15:04:06,19 126708
26/11/2023 15:04:17,12 124573
26/11/2023 15:04:28,19 125296
26/11/2023 15:04:39,15 117340
26/11/2023 15:04:50,14 114464
26/11/2023 15:05:01,13 103499
26/11/2023 15:05:11,20 104941
26/11/2023 15:05:22,15 123292
26/11/2023 15:05:33,22 117993
26/11/2023 15:05:44,14 117769
26/11/2023 15:05:55,20 119785
26/11/2023 15:06:06,18 119328
26/11/2023 15:06:17,20 118381
26/11/2023 15:06:28,21 119602
26/11/2023 15:06:39,21 121024
26/11/2023 15:06:50,22 121012
26/11/2023 15:07:01,15 130851
26/11/2023 15:07:12,17 105232
26/11/2023 15:07:23,22 124410
26/11/2023 15:07:34,18 119220
26/11/2023 15:07:45,18 118861
26/11/2023 15:07:56,12 121653
26/11/2023 15:08:07,22 121606
26/11/2023 15:08:18,15 120990
26/11/2023 15:08:29,13 118069
26/11/2023 15:08:40,22 118597
26/11/2023 15:08:51,13 119704
26/11/2023 15:09:02,13 88839
26/11/2023 15:09:13,16 103415
26/11/2023 15:09:24,21 104829
26/11/2023 15:09:35,18 120423
26/11/2023 15:09:46,20 117569
26/11/2023 15:09:57,16 117517
26/11/2023 15:10:08,11 120418
26/11/2023 15:10:19,12 120220
26/11/2023 15:10:30,17 118703
26/11/2023 15:10:41,16 119340
26/11/2023 15:10:52,18 120684
26/11/2023 15:11:03,12 120632
26/11/2023 15:11:14,21 131045
26/11/2023 15:11:25,18 104870
26/11/2023 15:11:36,15 123867
26/11/2023 15:11:47,18 118530
26/11/2023 15:11:58,21 118166
26/11/2023 15:12:09,14 120881
26/11/2023 15:12:20,19 117824
26/11/2023 15:12:31,22 116552
26/11/2023 15:12:42,14 114393
26/11/2023 15:12:53,22 115028
26/11/2023 15:13:04,17 116160
