Inicio: 28/11/2023 14:13:49,28 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: teste-media-error.txt
28/11/2023 16:20:36,19 170971
28/11/2023 16:20:47,16 170986
28/11/2023 16:20:58,14 146857
28/11/2023 16:21:09,15 189246
28/11/2023 16:21:20,15 190974
28/11/2023 16:21:31,15 233874
28/11/2023 16:21:42,19 233498
28/11/2023 16:21:53,17 173649
28/11/2023 16:22:04,21 158266
28/11/2023 16:22:15,22 180900
28/11/2023 16:22:26,11 133649
28/11/2023 16:22:37,20 172928
28/11/2023 16:22:48,22 173132
28/11/2023 16:22:59,16 175003
28/11/2023 16:23:10,15 143862
28/11/2023 16:23:21,17 193249
28/11/2023 16:23:32,20 193178
28/11/2023 16:23:43,16 192734
28/11/2023 16:23:54,17 187698
28/11/2023 16:24:05,13 184507
28/11/2023 16:24:16,15 184703
28/11/2023 16:24:27,15 184853
28/11/2023 16:24:38,19 176644
28/11/2023 16:24:49,16 176483
28/11/2023 16:25:00,16 176423
28/11/2023 16:25:11,19 179623
28/11/2023 16:25:22,22 179607
28/11/2023 16:25:33,12 179570
28/11/2023 16:25:44,15 179054
28/11/2023 16:25:55,20 179110
28/11/2023 16:26:06,16 178819
28/11/2023 16:26:17,12 178458
28/11/2023 16:26:28,15 178392
28/11/2023 16:26:39,12 177528
28/11/2023 16:26:50,19 179217
28/11/2023 16:27:01,15 178963
28/11/2023 16:27:12,19 178059
28/11/2023 16:27:23,14 177479
28/11/2023 16:27:34,19 144974
28/11/2023 16:27:45,15 124711
28/11/2023 16:27:56,20 172178
28/11/2023 16:28:07,15 224591
28/11/2023 16:28:18,12 217455
28/11/2023 16:28:29,12 166921
28/11/2023 16:28:40,12 168832
28/11/2023 16:28:51,16 154420
28/11/2023 16:29:02,13 168099
28/11/2023 16:29:13,17 173327
28/11/2023 16:29:24,13 173793
28/11/2023 16:29:35,17 173195
28/11/2023 16:29:46,21 146032
28/11/2023 16:29:57,19 140119
28/11/2023 16:30:08,14 195454
28/11/2023 16:30:19,18 195913
28/11/2023 16:30:30,15 191771
28/11/2023 16:30:41,18 186596
